import time: self [us] | cumulative | imported package
import time:      6272 |       6272 |               openpyxl.worksheet.drawing
import time:      2568 |       2568 |               openpyxl.chartsheet.relation
import time:      2451 |       2451 |               openpyxl.chartsheet.properties
import time:      2054 |       2054 |               openpyxl.chartsheet.protection
import time:      1921 |       1921 |               openpyxl.chartsheet.views
import time:      2010 |       2010 |               openpyxl.chartsheet.custom
import time:      5864 |       5864 |               openpyxl.chartsheet.publish
import time:      2866 |      26003 |             openpyxl.chartsheet.chartsheet
import time:      3637 |      29640 |           openpyxl.chartsheet
import time:      2795 |       2795 |           openpyxl.packaging.core
import time:      2432 |       2432 |           openpyxl.packaging.custom
import time:      3132 |     751723 |         openpyxl.workbook.workbook
import time:      2635 |     754357 |       openpyxl.workbook
import time:      2117 |       2117 |         openpyxl.reader
import time:      5457 |       5457 |           openpyxl.pivot
import time:      2619 |       2619 |           openpyxl.pivot.fields
import time:      4728 |      12803 |         openpyxl.pivot.table
import time:       312 |        312 |         openpyxl.tests
import time:      1655 |       1655 |         openpyxl.reader.strings
import time:      4090 |       4090 |               openpyxl.workbook.external_link.external
import time:      5015 |       9104 |             openpyxl.workbook.external_link
import time:        79 |       9182 |           openpyxl.workbook.external_link.external
import time:      4365 |       4365 |           openpyxl.pivot.cache
import time:      3344 |       3344 |           openpyxl.pivot.record
import time:      2619 |      19509 |         openpyxl.reader.workbook
import time:      2282 |       2282 |             openpyxl.chart.plotarea
import time:      2456 |       2456 |             openpyxl.chart.pivot
import time:      7451 |       7451 |             openpyxl.chart.print_settings
import time:      3960 |      16148 |           openpyxl.chart.chartspace
import time:      2447 |       2447 |           openpyxl.chart.reader
import time:      6015 |      24610 |         openpyxl.reader.drawings
import time:      3534 |      64536 |       openpyxl.reader.excel
import time:      2240 |       2240 |       openpyxl._constants
import time:      3349 |    1350259 |     openpyxl
import time:      2232 |       2232 |     toolbox_app.tools.bth_spreader_padeye.report_renderer
