import time: self [us] | cumulative | imported package
import time:      7332 |      17073 |                 openpyxl.cell.rich_text
import time:     59011 |     338461 |               openpyxl.cell.cell
import time:      6711 |       6711 |               openpyxl.cell.read_only
import time:     12536 |     357707 |             openpyxl.cell
import time:      5073 |       5073 |                   openpyxl.styles.differential
import time:     13445 |      18518 |                 openpyxl.formatting.rule
import time:      4176 |      22694 |               openpyxl.formatting
import time:      2247 |       2247 |               openpyxl.worksheet.cell_range
import time:      3294 |      28234 |             openpyxl.formatting.formatting
import time:      3024 |       3024 |               openpyxl.packaging
import time:      2344 |       2344 |               openpyxl.descriptors.container
import time:      4528 |       9896 |             openpyxl.packaging.relationship
import time:      1532 |       1532 |                 openpyxl.utils.escape
import time:      2069 |       3601 |               openpyxl.worksheet.header_footer
import time:      2252 |       5853 |             openpyxl.workbook.child
import time:      2347 |       2347 |             openpyxl.workbook.defined_name
import time:      5356 |       5356 |             openpyxl.formula.translate
import time:      3054 |       3054 |             openpyxl.worksheet.datavalidation
import time:      2957 |       2957 |             openpyxl.worksheet.page
import time:      7729 |       7729 |               openpyxl.utils.units
import time:      3072 |       3072 |               openpyxl.utils.bound_dictionary
import time:      4746 |      15546 |             openpyxl.worksheet.dimensions
import time:      1716 |       1716 |               openpyxl.utils.protection
import time:      2718 |       4434 |             openpyxl.worksheet.protection
import time:      8130 |       8130 |             openpyxl.worksheet.filters
import time:      4405 |       4405 |             openpyxl.worksheet.views
import time:      2788 |       2788 |             openpyxl.worksheet.merge
import time:      2628 |       2628 |             openpyxl.worksheet.properties
import time:      3693 |       3693 |             openpyxl.worksheet.pagebreak
import time:      3278 |       3278 |             openpyxl.worksheet.scenario
import time:     10672 |      10672 |               openpyxl.worksheet.related
import time:     25125 |      35797 |             openpyxl.worksheet.table
import time:      5428 |       5428 |             openpyxl.worksheet.print_settings
import time:     12959 |     603764 |           openpyxl.worksheet.worksheet
import time:      3158 |       3158 |             openpyxl.worksheet._reader
import time:     10967 |      14125 |           openpyxl.worksheet._read_only
import time:       218 |        218 |               atexit
import time:      3147 |       3147 |                   openpyxl.comments.comments
import time:      3543 |       6690 |                 openpyxl.comments
import time:     14111 |      14111 |                 openpyxl.comments.author
import time:     19106 |      19106 |                 openpyxl.comments.shape_writer
import time:     17244 |      57150 |               openpyxl.comments.comment_sheet
import time:     14881 |      14881 |               openpyxl.cell._writer
import time:      8359 |      80608 |             openpyxl.worksheet._writer
import time:      3107 |      83715 |           openpyxl.worksheet._write_only
import time:     10514 |      10514 |           openpyxl.worksheet.copier
import time:      6013 |       6013 |             openpyxl.writer
import time:      4826 |       4826 |                 openpyxl.drawing.drawing
import time:      3095 |       7921 |               openpyxl.drawing
import time:     10189 |      10189 |                   PIL._version
import time:      4138 |      14326 |                 PIL
import time:     15244 |      15244 |                   logging
import time:     20509 |      20509 |                   PIL.ExifTags
import time:      6510 |       6510 |                     PIL._deprecate
import time:      6993 |      13503 |                   PIL.ImageMode
import time:      6833 |       6833 |                   PIL.TiffTags
import time:     10496 |      10496 |                   PIL._binary
import time:      9057 |       9057 |                       numpy._typing._add_docstring
import time:      3389 |      12446 |                     numpy.typing
import time:      4223 |      16668 |                   PIL._typing
import time:      4013 |       4013 |                   PIL._util
import time:      2450 |       2450 |                   defusedxml
import time:      5168 |       5168 |                   PIL._imaging
import time:      3843 |       3843 |                   cffi
import time:     17932 |     116653 |                 PIL.Image
import time:      3886 |     134865 |               openpyxl.drawing.image
import time:     14655 |      14655 |                           openpyxl.chart.layout
import time:      3477 |       3477 |                           openpyxl.chart.picture
import time:      5553 |       5553 |                             openpyxl.drawing.colors
import time:      6425 |       6425 |                               openpyxl.drawing.effect
import time:     13867 |      20292 |                             openpyxl.drawing.fill
import time:      9326 |       9326 |                             openpyxl.drawing.line
import time:     12082 |      12082 |                             openpyxl.drawing.geometry
import time:     10306 |      57556 |                           openpyxl.chart.shapes
import time:      5628 |       5628 |                             openpyxl.drawing.text
import time:      8621 |       8621 |                             openpyxl.chart.data_source
import time:      5228 |      19477 |                           openpyxl.chart.text
import time:      4672 |       4672 |                           openpyxl.chart.error_bar
import time:      3656 |     103491 |                         openpyxl.chart.marker
import time:      3826 |     107316 |                       openpyxl.chart._3d
import time:     17045 |      17045 |                       openpyxl.chart.legend
import time:     12732 |      12732 |                       openpyxl.chart.reference
import time:      4347 |       4347 |                           openpyxl.chart.label
import time:      9196 |       9196 |                           openpyxl.chart.trendline
import time:     12000 |      25542 |                         openpyxl.chart.series
import time:      3526 |      29068 |                       openpyxl.chart.series_factory
import time:      6653 |       6653 |                       openpyxl.chart.title
import time:     10061 |     182873 |                     openpyxl.chart._chart
import time:     16043 |      16043 |                     openpyxl.chart.descriptors
import time:     29403 |      29403 |                     openpyxl.chart.axis
import time:      3793 |     232111 |                   openpyxl.chart.area_chart
import time:     13344 |      13344 |                   openpyxl.chart.bar_chart
import time:      5039 |       5039 |                   openpyxl.chart.bubble_chart
import time:      7560 |       7560 |                     openpyxl.chart.updown_bars
import time:      2881 |      10441 |                   openpyxl.chart.line_chart
import time:      4968 |       4968 |                   openpyxl.chart.pie_chart
import time:      2978 |       2978 |                   openpyxl.chart.radar_chart
import time:     10467 |      10467 |                   openpyxl.chart.scatter_chart
import time:      3568 |       3568 |                   openpyxl.chart.stock_chart
import time:     13176 |      13176 |                   openpyxl.chart.surface_chart
import time:      3974 |     300061 |                 openpyxl.chart
import time:       118 |     300179 |               openpyxl.chart._chart
import time:      4374 |       4374 |               openpyxl.drawing.xdr
import time:      4269 |       4269 |                 openpyxl.drawing.properties
import time:      9453 |      13722 |               openpyxl.drawing.connector
import time:      9479 |       9479 |                 openpyxl.drawing.picture
import time:      6421 |       6421 |                 openpyxl.drawing.relation
import time:      4202 |      20100 |               openpyxl.drawing.graphic
import time:     21678 |     502835 |             openpyxl.drawing.spreadsheet_drawing
import time:    154308 |     154308 |             openpyxl.packaging.manifest
import time:      3003 |       3003 |               openpyxl.styles.table
import time:      6562 |       9565 |             openpyxl.styles.stylesheet
import time:      2515 |       2515 |               openpyxl.workbook.external_reference
import time:      3974 |       3974 |                 openpyxl.workbook.function_group
import time:      6661 |       6661 |                 openpyxl.workbook.properties
import time:     39110 |      39110 |                 openpyxl.workbook.protection
import time:      9379 |       9379 |                 openpyxl.workbook.smart_tags
import time:     14289 |      14289 |                 openpyxl.workbook.views
import time:      2924 |       2924 |                 openpyxl.workbook.web
import time:      9555 |      85889 |               openpyxl.packaging.workbook
import time:      3807 |      92211 |             openpyxl.workbook._writer
import time:      6948 |       6948 |             openpyxl.writer.theme
import time:     10820 |     782696 |           openpyxl.writer.excel
import time:      2280 |       2280 |               openpyxl.worksheet.drawing
import time:     14160 |      14160 |               openpyxl.chartsheet.relation
import time:     10512 |      10512 |               openpyxl.chartsheet.properties
import time:      3266 |       3266 |               openpyxl.chartsheet.protection
import time:      2773 |       2773 |               openpyxl.chartsheet.views
import time:      2252 |       2252 |               openpyxl.chartsheet.custom
